id,employe_id,date,motif,jours
392,159,2024-05-03,Sans solde,7
393,159,2024-12-12,Sans solde,6
394,159,2024-07-15,Congés,2
395,159,2024-09-13,RTT,1
396,161,2024-04-28,Maladie,6
397,161,2024-11-05,Sans solde,10
398,161,2024-07-22,RTT,1
399,162,2024-05-19,Formation,8
400,162,2024-04-26,RTT,9
401,162,2024-07-11,Formation,3
402,162,2024-12-14,Sans solde,7
403,162,2024-02-13,Sans solde,5
404,163,2024-05-06,Maladie,2
405,163,2024-05-17,Congés,7
406,163,2024-11-20,Congés,7
407,163,2024-06-11,RTT,2
408,163,2024-02-16,Maladie,5
409,163,2024-08-15,RTT,5
410,166,2024-02-14,Congés,7
411,167,2024-10-12,Sans solde,9
412,167,2024-07-27,Maladie,1
413,167,2024-02-15,RTT,9
414,169,2024-11-02,RTT,7
415,169,2024-01-07,RTT,7
416,169,2024-07-17,Maladie,9
417,169,2024-05-04,Sans solde,9
418,170,2024-12-16,Formation,3
419,171,2024-05-17,RTT,5
420,172,2024-03-15,Maladie,3
421,172,2024-08-10,RTT,7
422,172,2024-06-02,Formation,2
423,173,2024-05-08,Congés,8
424,173,2024-10-31,Sans solde,4
425,175,2024-02-24,Congés,5
426,175,2024-01-04,Formation,6
427,175,2024-11-13,Formation,6
428,178,2024-06-20,Formation,10
429,178,2024-03-10,RTT,6
430,178,2024-11-04,Congés,8
431,179,2024-03-31,Formation,6
432,179,2024-05-29,Formation,10
433,181,2024-05-04,RTT,7
434,181,2024-05-23,Formation,6
435,181,2024-02-28,Sans solde,4
436,181,2024-10-30,Sans solde,3
437,181,2024-12-15,Sans solde,1
438,181,2024-08-24,Congés,8
439,182,2024-05-29,Maladie,7
440,182,2024-12-10,Formation,3
441,182,2024-11-20,RTT,4
442,182,2024-05-09,Congés,7
443,182,2024-07-12,Maladie,8
444,182,2024-11-02,Formation,10
445,184,2024-09-30,Sans solde,7
446,184,2024-10-05,Maladie,6
447,184,2024-12-25,Sans solde,10
448,185,2024-02-13,Maladie,4
449,185,2024-12-02,RTT,3
450,185,2024-11-27,Sans solde,1
451,185,2024-10-15,Formation,6
452,185,2024-08-08,Maladie,1
453,187,2024-04-23,Sans solde,9
454,187,2024-10-12,Sans solde,10
455,189,2024-08-16,RTT,7
456,190,2024-12-13,Sans solde,9
457,190,2024-03-18,RTT,1
458,190,2024-09-04,Maladie,5
459,191,2024-02-13,Maladie,3
460,191,2024-06-27,RTT,6
461,191,2024-08-21,Congés,9
462,192,2024-06-27,Formation,2
463,192,2024-08-12,Formation,6
464,192,2024-02-04,RTT,1
465,193,2024-02-28,Maladie,6
466,193,2024-11-27,Maladie,3
467,193,2024-05-04,Sans solde,3
468,193,2024-10-09,Congés,6
469,193,2024-10-13,Formation,8
470,193,2024-04-28,Formation,3
471,194,2024-11-23,Formation,7
472,197,2024-11-10,Congés,8
473,197,2024-10-30,Formation,7
474,197,2024-01-03,Congés,4
475,197,2024-05-22,Maladie,10
476,197,2024-02-22,Sans solde,3
477,198,2024-06-15,Congés,8
478,198,2024-02-28,RTT,8
479,199,2024-11-23,RTT,10
480,199,2024-07-17,Sans solde,7
481,199,2024-10-27,Maladie,6
482,199,2024-06-29,Formation,10
