id,nom,departement_id,poste,contrat,date_embauche,salaire_annuel,genre,actif
37,Employe_37,5,Ingénieur,CDI,2018-09-07,48552.0,H,1
38,Employe_38,1,Commercial,CDI,2023-09-12,33250.0,F,1
39,Employe_39,4,Commercial,CDI,2019-05-07,51588.0,F,0
40,Employe_40,6,Technicien,CDD,2023-11-12,48733.0,H,1
41,Employe_41,3,Analyste,Stage,2022-06-10,36577.0,H,1
42,Employe_42,1,Assistant,CDI,2018-02-08,58034.0,F,1
43,Employe_43,5,Technicien,CDI,2020-12-22,36680.0,F,1
44,Employe_44,3,Assistant,Stage,2019-10-09,56716.0,F,1
45,Employe_45,6,Technicien,CDI,2019-03-01,36800.0,F,1
46,Employe_46,3,Commercial,Stage,2021-02-28,67638.0,F,1
47,Employe_47,5,Ingénieur,CDI,2023-06-25,44457.0,H,1
48,Employe_48,1,Commercial,Stage,2018-01-15,49859.0,F,0
49,Employe_49,5,Ingénieur,CDI,2022-10-18,64759.0,F,1
50,Employe_50,5,Assistant,CDD,2018-05-28,52196.0,H,1
51,Employe_51,1,Ingénieur,Stage,2021-06-16,51897.0,F,1
52,Employe_52,6,Assistant,Freelance,2019-02-26,51178.0,F,1
53,Employe_53,2,Ingénieur,CDD,2019-12-27,55020.0,H,0
54,Employe_54,6,Commercial,CDI,2020-10-13,45485.0,H,1
55,Employe_55,4,Manager,Stage,2020-06-30,51588.0,H,1
56,Employe_56,2,Commercial,Freelance,2018-04-07,71255.0,H,1
57,Employe_57,1,Analyste,Freelance,2021-02-17,51012.0,H,1
58,Employe_58,1,Assistant,Stage,2020-12-05,51588.0,F,1
59,Employe_59,5,Analyste,Stage,2022-11-15,50654.0,H,1
60,Employe_60,4,Ingénieur,Freelance,2020-02-18,44693.0,F,1
61,Employe_61,3,Analyste,Stage,2022-11-02,32585.0,H,1
62,Employe_62,6,Technicien,Freelance,2021-05-15,51588.0,H,0
63,Employe_63,6,Commercial,CDD,2021-04-26,64333.0,H,0
64,Employe_64,6,Assistant,Stage,2019-12-14,68338.0,H,1
65,Employe_65,3,Manager,Stage,2021-03-21,41774.0,H,0
66,Employe_66,4,Manager,CDD,2020-05-25,61500.0,F,1
67,Employe_67,5,Commercial,Stage,2021-10-04,34120.0,F,1
68,Employe_68,2,Commercial,Freelance,2018-04-11,31028.0,F,0
69,Employe_69,4,Manager,Freelance,2020-03-07,73636.0,H,1
70,Employe_70,2,Manager,CDD,2018-01-23,34985.0,F,0
71,Employe_71,1,Manager,CDD,2020-10-17,35953.0,H,1
72,Employe_72,4,Assistant,Freelance,2023-08-30,55966.0,F,0
73,Employe_73,4,Analyste,Stage,2020-11-27,44203.0,H,1
74,Employe_74,3,Analyste,Stage,2022-12-07,33077.0,F,1
75,Employe_75,3,Ingénieur,CDD,2021-08-02,63399.0,F,1
76,Employe_76,4,Commercial,CDI,2019-09-18,74295.0,H,0
77,Employe_77,3,Ingénieur,CDD,2023-03-24,55248.0,H,0
78,Employe_78,5,Manager,Freelance,2018-03-22,65728.0,F,1
79,Employe_79,3,Assistant,CDD,2022-05-17,55460.0,H,1
80,Employe_80,3,Ingénieur,Freelance,2022-11-21,59827.0,H,0
81,Employe_81,6,Commercial,CDI,2019-11-08,58630.0,H,1
82,Employe_82,1,Manager,CDD,2022-10-22,36893.0,F,1
83,Employe_83,4,Manager,Stage,2021-09-02,41871.0,H,0
84,Employe_84,3,Ingénieur,Freelance,2022-09-23,44532.0,F,1
85,Employe_85,3,Ingénieur,CDI,2020-07-07,70607.0,F,1
86,Employe_86,2,Commercial,CDD,2018-03-25,68719.0,F,0
87,Employe_87,6,Commercial,Freelance,2019-04-14,64960.0,H,1
88,Employe_88,2,Technicien,CDI,2019-04-15,38732.0,F,1
89,Employe_89,5,Analyste,CDD,2022-03-18,53995.0,F,1
90,Employe_90,1,Assistant,CDI,2021-05-20,72843.0,F,1
91,Employe_91,5,Technicien,CDI,2022-10-21,71353.0,H,1
92,Employe_92,4,Manager,Stage,2023-07-01,34916.0,H,1
93,Employe_93,4,Analyste,Stage,2019-12-23,62193.0,H,0
94,Employe_94,4,Commercial,CDI,2021-01-04,51588.0,H,0
95,Employe_95,2,Assistant,Freelance,2023-03-19,65345.0,H,1
96,Employe_96,4,Manager,CDD,2021-08-24,39917.0,H,1
97,Employe_97,3,Analyste,Stage,2021-02-19,67069.0,F,1
98,Employe_98,1,Manager,CDD,2020-09-15,54635.0,H,0
99,Employe_99,4,Technicien,CDD,2018-03-12,34098.0,H,1
100,Employe_100,3,Assistant,Stage,2022-02-20,59015.0,H,1
101,Employe_101,3,Technicien,Stage,2023-02-02,45754.0,F,1
102,Employe_102,6,Ingénieur,CDD,2020-02-28,51588.0,F,1
103,Employe_103,6,Analyste,Stage,2023-06-07,46120.0,F,1
104,Employe_104,3,Commercial,Stage,2020-07-20,51650.0,F,1
105,Employe_105,3,Assistant,Stage,2018-07-06,31573.0,F,0
106,Employe_106,1,Technicien,Freelance,2018-02-20,65621.0,H,0
107,Employe_107,3,Technicien,Freelance,2020-01-26,31367.0,F,1
108,Employe_108,4,Assistant,CDI,2023-07-08,51588.0,F,1
109,Employe_109,5,Commercial,CDI,2021-05-29,51588.0,H,1
110,Employe_110,5,Manager,Stage,2022-04-08,57524.0,H,1
111,Employe_111,5,Analyste,CDI,2018-09-04,67952.0,F,1
112,Employe_112,3,Commercial,CDD,2018-11-29,51588.0,F,1
113,Employe_113,1,Analyste,Freelance,2022-08-01,57524.0,H,1
114,Employe_114,2,Technicien,Freelance,2021-03-26,74331.0,F,1
115,Employe_115,3,Ingénieur,CDD,2020-03-21,55861.0,F,1
116,Employe_116,2,Commercial,Stage,2018-10-20,31908.0,H,0
117,Employe_117,1,Technicien,Freelance,2023-04-04,73133.0,H,0
118,Employe_118,4,Ingénieur,Freelance,2018-11-26,67192.0,H,1
119,Employe_119,1,Analyste,CDI,2019-01-10,43002.0,H,1
120,Employe_120,2,Analyste,Freelance,2023-04-12,62010.0,H,1
121,Employe_121,5,Manager,CDI,2022-11-21,69601.0,H,1
122,Employe_122,4,Analyste,CDI,2021-09-27,49040.0,F,1
123,Employe_123,4,Analyste,Freelance,2023-07-23,46888.0,F,0
124,Employe_124,1,Technicien,CDI,2021-07-12,44541.0,H,1
125,Employe_125,6,Ingénieur,CDD,2023-03-08,55082.0,H,0
126,Employe_126,6,Commercial,Stage,2022-12-16,31382.0,F,1
127,Employe_127,4,Ingénieur,CDD,2023-06-09,35957.0,F,1
128,Employe_128,5,Manager,CDI,2018-02-26,64192.0,F,1
129,Employe_129,4,Commercial,Freelance,2019-04-27,70448.0,H,1
130,Employe_130,4,Commercial,Freelance,2023-05-31,51588.0,F,0
131,Employe_131,2,Ingénieur,Stage,2023-09-13,36946.0,H,1
132,Employe_132,5,Technicien,Stage,2020-12-30,28168.0,H,1
133,Employe_133,4,Technicien,Freelance,2023-06-07,50618.0,H,1
134,Employe_134,2,Manager,CDD,2020-09-05,65473.0,H,1
135,Employe_135,3,Manager,Freelance,2023-04-22,74217.0,F,0
136,Employe_136,1,Assistant,Stage,2019-06-02,60918.0,F,0
137,Employe_137,1,Ingénieur,CDD,2023-11-25,57945.0,H,1
138,Employe_138,1,Technicien,Freelance,2023-04-08,51588.0,F,1
139,Employe_139,6,Technicien,Freelance,2023-12-26,52904.0,F,1
140,Employe_140,2,Analyste,CDI,2021-03-23,42908.0,H,1
141,Employe_141,6,Commercial,Stage,2019-02-16,57076.0,F,1
142,Employe_142,3,Technicien,Stage,2018-08-18,51588.0,H,1
143,Employe_143,2,Assistant,CDD,2023-12-16,55004.0,F,1
144,Employe_144,1,Analyste,CDD,2022-04-16,68613.0,H,1
145,Employe_145,2,Technicien,Freelance,2023-03-04,51588.0,H,1
146,Employe_146,4,Assistant,CDD,2021-03-24,72407.0,F,0
147,Employe_147,3,Manager,Stage,2021-05-10,69873.0,H,1
148,Employe_148,2,Ingénieur,CDD,2022-04-25,51588.0,H,1
149,Employe_149,5,Technicien,CDI,2021-04-26,73827.0,H,1
150,Employe_150,1,Analyste,Freelance,2018-07-20,51588.0,H,1
151,Employe_151,5,Analyste,CDD,2021-12-14,42352.0,H,1
152,Employe_152,6,Analyste,CDI,2019-02-02,69121.0,H,0
153,Employe_153,1,Ingénieur,Stage,2022-02-03,36612.0,H,0
154,Employe_154,2,Assistant,Stage,2020-04-02,36661.0,H,1
155,Employe_155,3,Analyste,Stage,2023-05-28,47342.0,F,0
156,Employe_156,1,Analyste,Freelance,2019-07-31,42785.0,H,1
157,Employe_157,4,Assistant,CDI,2018-02-27,45331.0,H,1
158,Employe_158,6,Manager,Stage,2020-12-09,66309.0,F,1
159,Employe_159,4,Assistant,Stage,2018-04-13,68602.0,F,1
160,Employe_160,6,Technicien,Freelance,2023-03-17,73945.0,F,1
161,Employe_161,1,Manager,CDI,2018-06-02,51588.0,F,1
162,Employe_162,5,Manager,Stage,2019-07-10,51588.0,H,1
163,Employe_163,4,Assistant,Freelance,2019-02-10,60069.0,H,1
164,Employe_164,6,Manager,Freelance,2022-02-26,42238.0,F,1
165,Employe_165,1,Analyste,Stage,2022-02-13,63682.0,F,0
166,Employe_166,3,Manager,CDI,2020-02-17,36005.0,F,1
167,Employe_167,1,Commercial,CDD,2021-09-28,51588.0,F,1
168,Employe_168,5,Technicien,CDD,2020-06-03,43269.0,F,1
169,Employe_169,2,Technicien,CDD,2019-06-17,63403.0,F,1
170,Employe_170,2,Commercial,Stage,2018-03-02,51477.0,F,1
171,Employe_171,3,Analyste,Freelance,2018-08-03,36307.0,F,1
172,Employe_172,4,Assistant,CDI,2023-01-11,51726.0,H,1
173,Employe_173,5,Assistant,Stage,2018-06-27,71181.0,H,1
174,Employe_174,1,Manager,CDI,2023-05-16,54320.0,H,0
175,Employe_175,1,Assistant,CDD,2018-11-27,49109.0,F,1
176,Employe_176,3,Assistant,Stage,2021-08-24,52962.0,H,0
177,Employe_177,1,Analyste,CDD,2019-04-14,70907.0,H,0
178,Employe_178,2,Manager,Freelance,2022-08-22,50212.0,H,1
179,Employe_179,3,Analyste,Stage,2022-10-15,48481.0,H,1
180,Employe_180,6,Ingénieur,CDI,2023-04-27,32399.0,F,0
181,Employe_181,1,Assistant,CDI,2022-03-07,36527.0,H,1
182,Employe_182,4,Manager,CDI,2021-12-19,71603.0,H,1
183,Employe_183,3,Assistant,CDD,2019-03-01,65874.0,F,0
184,Employe_184,2,Assistant,Stage,2019-03-20,50945.0,F,1
185,Employe_185,5,Assistant,CDI,2020-07-15,56122.0,H,1
186,Employe_186,2,Technicien,Stage,2021-01-24,74052.0,H,1
187,Employe_187,2,Analyste,Freelance,2019-08-10,65114.0,F,1
188,Employe_188,6,Analyste,CDD,2018-05-06,34013.0,H,0
189,Employe_189,4,Technicien,Stage,2021-10-28,38315.0,H,1
190,Employe_190,1,Assistant,CDI,2019-09-30,38316.0,F,1
191,Employe_191,4,Assistant,Freelance,2022-10-03,59828.0,H,1
192,Employe_192,2,Technicien,Freelance,2023-09-30,35459.0,F,1
193,Employe_193,6,Analyste,Stage,2023-06-17,62533.0,F,1
194,Employe_194,4,Commercial,Stage,2018-08-13,28503.0,F,1
195,Employe_195,3,Ingénieur,CDI,2021-03-31,49503.0,H,0
196,Employe_196,2,Assistant,CDD,2019-06-14,52917.0,H,1
197,Employe_197,4,Ingénieur,Freelance,2018-06-23,56588.0,F,1
198,Employe_198,5,Manager,Freelance,2022-10-25,65578.0,H,1
199,Employe_199,4,Commercial,Freelance,2018-03-27,49284.0,H,1
200,Employe_200,4,Manager,Freelance,2019-03-10,43945.0,F,0
